zipcode,total_pop_2019,college_pop_2019,college_percent_2019,    Population 18 to 24 years,        Bachelor's degree or higher,    Population 25 years and over,        Bachelor's degree or higher,    Population 25 to 34 years,        Bachelor's degree or higher,    Population 35 to 44 years,        Bachelor's degree or higher,    Population 45 to 64 years,        Bachelor's degree or higher,    Population 65 years and over,        Bachelor's degree or higher
61102,23962.00,2138.00,0.09,1734.00,84.00,11114.00,1027.00,2560.00,105.00,2316.00,203.00,4048.00,404.00,2190.00,315.00
61103,34944.00,7693.00,0.22,1790.00,131.00,16577.00,3781.00,2541.00,532.00,2728.00,698.00,6451.00,1248.00,4857.00,1303.00
61104,25497.00,2072.00,0.08,2029.00,50.00,11734.00,1011.00,3048.00,210.00,2221.00,128.00,4675.00,455.00,1790.00,218.00
61107,45967.00,16412.00,0.36,1765.00,164.00,22101.00,8124.00,4194.00,1410.00,3488.00,1532.00,7565.00,2763.00,6854.00,2419.00
61108,41211.00,8978.00,0.22,2713.00,238.00,19249.00,4370.00,2951.00,743.00,3430.00,790.00,7315.00,1801.00,5553.00,1036.00
61109,38498.00,5359.00,0.14,2780.00,111.00,17859.00,2624.00,4007.00,914.00,2821.00,371.00,7101.00,823.00,3930.00,516.00
61111,33704.00,8171.00,0.24,1966.00,245.00,15869.00,3963.00,3309.00,985.00,2791.00,818.00,6224.00,1752.00,3545.00,408.00
61112,124.00,14.00,0.11,0.00,0.00,62.00,7.00,0.00,0.00,0.00,0.00,0.00,0.00,62.00,7.00
61114,24623.00,10375.00,0.42,1255.00,321.00,11684.00,5027.00,1550.00,820.00,1612.00,682.00,4355.00,1851.00,4167.00,1674.00
61115,33000.00,4817.00,0.15,2052.00,163.00,15474.00,2327.00,2641.00,633.00,2822.00,385.00,6687.00,934.00,3324.00,375.00
61201,53985.00,11077.00,0.21,5537.00,231.00,24224.00,5423.00,4755.00,1172.00,4153.00,817.00,9141.00,2186.00,6175.00,1248.00
61230,1650.00,280.00,0.17,42.00,4.00,804.00,138.00,195.00,38.00,69.00,11.00,216.00,33.00,324.00,56.00
61231,7826.00,1560.00,0.20,350.00,12.00,3738.00,774.00,510.00,112.00,518.00,177.00,1396.00,274.00,1314.00,211.00
61232,2129.00,402.00,0.19,59.00,0.00,1035.00,201.00,200.00,56.00,106.00,18.00,513.00,77.00,216.00,50.00
61234,1879.00,514.00,0.27,75.00,6.00,902.00,254.00,128.00,51.00,166.00,65.00,366.00,108.00,242.00,30.00
61235,2066.00,292.00,0.14,142.00,20.00,962.00,136.00,120.00,10.00,191.00,57.00,339.00,36.00,312.00,33.00
61236,150.00,10.00,0.07,16.00,0.00,67.00,5.00,29.00,2.00,0.00,0.00,19.00,0.00,19.00,3.00
61238,5009.00,869.00,0.17,277.00,15.00,2366.00,427.00,315.00,63.00,471.00,137.00,889.00,139.00,691.00,88.00
61239,1519.00,182.00,0.12,113.00,4.00,703.00,89.00,238.00,40.00,98.00,22.00,230.00,5.00,137.00,22.00
61240,9070.00,2738.00,0.30,324.00,10.00,4373.00,1364.00,450.00,136.00,776.00,381.00,1794.00,544.00,1353.00,303.00
61241,10592.00,2276.00,0.21,622.00,40.00,4985.00,1118.00,825.00,282.00,908.00,208.00,2211.00,493.00,1041.00,135.00
61242,2077.00,332.00,0.16,35.00,0.00,1021.00,166.00,160.00,29.00,155.00,22.00,413.00,73.00,293.00,42.00
61243,418.00,53.00,0.13,14.00,5.00,202.00,24.00,7.00,0.00,6.00,0.00,123.00,18.00,66.00,6.00
61244,34341.00,6839.00,0.20,1931.00,399.00,16205.00,3220.00,2995.00,590.00,3069.00,625.00,5729.00,1131.00,4412.00,874.00
61250,3630.00,783.00,0.22,152.00,21.00,1739.00,381.00,212.00,63.00,347.00,139.00,708.00,124.00,472.00,55.00
61251,612.00,46.00,0.08,0.00,0.00,306.00,23.00,11.00,11.00,106.00,12.00,118.00,0.00,71.00,0.00
61252,7999.00,1805.00,0.23,323.00,21.00,3838.00,892.00,556.00,206.00,564.00,168.00,1639.00,274.00,1079.00,244.00
61254,16034.00,5251.00,0.33,664.00,113.00,7685.00,2569.00,1056.00,479.00,1249.00,398.00,2792.00,1030.00,2588.00,662.00
61256,2967.00,852.00,0.29,125.00,16.00,1421.00,418.00,278.00,118.00,245.00,39.00,512.00,160.00,386.00,101.00
61257,1396.00,230.00,0.16,40.00,0.00,678.00,115.00,128.00,17.00,124.00,29.00,222.00,33.00,204.00,36.00
61258,242.00,10.00,0.04,4.00,0.00,119.00,5.00,7.00,1.00,43.00,3.00,38.00,1.00,31.00,0.00
61259,1697.00,438.00,0.26,37.00,0.00,830.00,219.00,74.00,54.00,175.00,82.00,365.00,62.00,216.00,21.00
61260,1431.00,73.00,0.05,97.00,9.00,667.00,32.00,156.00,10.00,80.00,1.00,266.00,5.00,165.00,16.00
61261,1257.00,144.00,0.11,105.00,0.00,576.00,72.00,116.00,24.00,81.00,13.00,225.00,32.00,154.00,3.00
61262,1645.00,284.00,0.17,37.00,0.00,804.00,142.00,104.00,23.00,123.00,9.00,343.00,90.00,234.00,20.00
61263,895.00,44.00,0.05,53.00,0.00,421.00,22.00,87.00,5.00,106.00,11.00,149.00,0.00,79.00,6.00
61264,16335.00,3135.00,0.19,441.00,101.00,7947.00,1517.00,1198.00,328.00,1303.00,225.00,3351.00,720.00,2095.00,244.00
61265,64187.00,17274.00,0.27,3303.00,292.00,30442.00,8491.00,5671.00,1741.00,5212.00,1526.00,10811.00,2742.00,8748.00,2482.00
61270,10597.00,2304.00,0.22,441.00,50.00,5078.00,1127.00,830.00,307.00,692.00,172.00,1926.00,349.00,1630.00,299.00
61272,1794.00,196.00,0.11,64.00,0.00,865.00,98.00,104.00,14.00,151.00,22.00,351.00,19.00,259.00,43.00
61273,4680.00,1180.00,0.25,234.00,18.00,2223.00,581.00,284.00,63.00,478.00,163.00,860.00,216.00,601.00,139.00
61274,451.00,42.00,0.09,35.00,0.00,208.00,21.00,9.00,0.00,40.00,21.00,134.00,0.00,25.00,0.00
61275,6763.00,2045.00,0.30,269.00,43.00,3247.00,1001.00,382.00,101.00,501.00,209.00,1382.00,505.00,982.00,186.00
61276,90.00,34.00,0.38,0.00,0.00,45.00,17.00,0.00,0.00,16.00,7.00,19.00,10.00,10.00,0.00
61277,4914.00,1214.00,0.25,228.00,40.00,2343.00,587.00,251.00,125.00,284.00,86.00,1047.00,210.00,761.00,166.00
61278,688.00,229.00,0.33,24.00,11.00,332.00,109.00,28.00,11.00,73.00,14.00,112.00,37.00,119.00,47.00
61279,1416.00,271.00,0.19,58.00,15.00,679.00,128.00,86.00,36.00,158.00,41.00,268.00,31.00,167.00,20.00
61281,3811.00,873.00,0.23,191.00,21.00,1810.00,426.00,209.00,28.00,258.00,64.00,854.00,265.00,489.00,69.00
61282,11044.00,1822.00,0.16,442.00,78.00,5301.00,872.00,967.00,178.00,1107.00,241.00,1952.00,253.00,1275.00,200.00
61283,2377.00,264.00,0.11,137.00,0.00,1120.00,132.00,282.00,63.00,202.00,21.00,437.00,37.00,199.00,11.00
61284,3096.00,566.00,0.18,32.00,0.00,1532.00,283.00,225.00,44.00,162.00,71.00,657.00,103.00,488.00,65.00
61285,2660.00,329.00,0.12,88.00,7.00,1286.00,161.00,275.00,31.00,113.00,4.00,458.00,69.00,440.00,57.00
61301,14213.00,2547.00,0.18,883.00,41.00,6665.00,1253.00,1348.00,397.00,1094.00,159.00,2510.00,451.00,1713.00,246.00
61310,5811.00,875.00,0.15,269.00,7.00,2771.00,434.00,306.00,44.00,415.00,105.00,1225.00,228.00,825.00,57.00
61311,372.00,78.00,0.21,0.00,0.00,186.00,39.00,11.00,0.00,31.00,0.00,37.00,10.00,107.00,29.00
61312,762.00,132.00,0.17,22.00,0.00,370.00,66.00,46.00,7.00,70.00,7.00,171.00,44.00,83.00,8.00
61313,339.00,70.00,0.21,47.00,18.00,146.00,26.00,23.00,10.00,18.00,10.00,64.00,6.00,41.00,0.00
61314,1411.00,188.00,0.13,73.00,0.00,669.00,94.00,95.00,12.00,113.00,5.00,289.00,15.00,172.00,62.00
61315,331.00,10.00,0.03,27.00,0.00,152.00,5.00,30.00,0.00,29.00,0.00,64.00,4.00,29.00,1.00
61316,373.00,30.00,0.08,21.00,4.00,176.00,13.00,31.00,3.00,29.00,3.00,54.00,4.00,62.00,3.00
61317,600.00,79.00,0.13,40.00,5.00,280.00,37.00,41.00,7.00,46.00,0.00,120.00,30.00,73.00,0.00
61318,1056.00,126.00,0.12,44.00,0.00,506.00,63.00,56.00,7.00,159.00,10.00,146.00,27.00,145.00,19.00
61319,2191.00,464.00,0.21,159.00,22.00,1016.00,221.00,144.00,13.00,156.00,38.00,448.00,101.00,268.00,69.00
61320,1132.00,210.00,0.19,62.00,14.00,535.00,98.00,90.00,14.00,47.00,14.00,227.00,45.00,171.00,25.00
61321,463.00,82.00,0.18,23.00,0.00,220.00,41.00,31.00,5.00,23.00,12.00,117.00,16.00,49.00,8.00
61322,2185.00,239.00,0.11,93.00,3.00,1046.00,118.00,173.00,24.00,281.00,10.00,335.00,46.00,257.00,38.00
61323,108.00,26.00,0.24,4.00,0.00,52.00,13.00,4.00,0.00,1.00,0.00,36.00,12.00,11.00,1.00
61324,245.00,28.00,0.11,11.00,0.00,117.00,14.00,0.00,0.00,6.00,0.00,63.00,0.00,48.00,14.00
61325,1596.00,313.00,0.20,72.00,1.00,762.00,156.00,110.00,28.00,138.00,64.00,303.00,27.00,211.00,37.00
61326,3699.00,470.00,0.13,161.00,8.00,1769.00,231.00,306.00,61.00,286.00,54.00,753.00,65.00,424.00,51.00
61327,1770.00,253.00,0.14,68.00,3.00,851.00,125.00,79.00,14.00,144.00,20.00,318.00,54.00,310.00,37.00
61328,18.00,0.00,0.00,0.00,0.00,9.00,0.00,0.00,0.00,9.00,0.00,0.00,0.00,0.00,0.00
61329,1950.00,304.00,0.16,76.00,4.00,937.00,150.00,144.00,48.00,199.00,21.00,392.00,55.00,202.00,26.00
61330,2172.00,358.00,0.16,84.00,12.00,1044.00,173.00,106.00,17.00,137.00,44.00,500.00,67.00,301.00,45.00
61331,36.00,0.00,0.00,0.00,0.00,18.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.00,0.00
61332,184.00,6.00,0.03,14.00,0.00,85.00,3.00,17.00,0.00,6.00,0.00,41.00,3.00,21.00,0.00
61333,529.00,86.00,0.16,19.00,2.00,255.00,42.00,28.00,5.00,71.00,0.00,103.00,13.00,53.00,24.00
61334,1011.00,146.00,0.14,51.00,4.00,480.00,71.00,98.00,18.00,79.00,14.00,186.00,20.00,117.00,19.00
61335,563.00,98.00,0.17,29.00,4.00,267.00,47.00,22.00,14.00,65.00,9.00,116.00,12.00,64.00,12.00
61336,758.00,174.00,0.23,50.00,4.00,354.00,85.00,41.00,10.00,34.00,0.00,180.00,28.00,99.00,47.00
61337,661.00,56.00,0.08,47.00,0.00,307.00,28.00,68.00,2.00,45.00,6.00,137.00,17.00,57.00,3.00
61338,332.00,30.00,0.09,18.00,2.00,157.00,14.00,26.00,5.00,23.00,2.00,49.00,5.00,59.00,2.00
61340,432.00,58.00,0.13,20.00,8.00,206.00,25.00,47.00,5.00,27.00,4.00,79.00,13.00,53.00,3.00
61341,11912.00,1960.00,0.16,434.00,36.00,5739.00,962.00,794.00,111.00,1111.00,227.00,2357.00,405.00,1477.00,219.00
61342,12300.00,1914.00,0.16,818.00,50.00,5741.00,932.00,1044.00,205.00,974.00,95.00,2148.00,351.00,1575.00,281.00
61344,553.00,92.00,0.17,39.00,2.00,257.00,45.00,38.00,12.00,30.00,8.00,129.00,25.00,60.00,0.00
61345,1157.00,204.00,0.18,27.00,0.00,565.00,102.00,110.00,26.00,81.00,21.00,226.00,20.00,148.00,35.00
61346,109.00,2.00,0.02,7.00,0.00,51.00,1.00,7.00,0.00,8.00,1.00,10.00,0.00,26.00,0.00
61348,6779.00,1171.00,0.17,287.00,29.00,3246.00,571.00,627.00,122.00,485.00,181.00,1213.00,205.00,921.00,63.00
61349,1513.00,250.00,0.17,83.00,0.00,715.00,125.00,119.00,24.00,74.00,17.00,312.00,44.00,210.00,40.00
61350,35670.00,6991.00,0.20,1894.00,127.00,16888.00,3432.00,3330.00,858.00,2626.00,580.00,6453.00,1316.00,4479.00,678.00
61353,1788.00,225.00,0.13,86.00,3.00,851.00,111.00,156.00,43.00,134.00,11.00,350.00,32.00,211.00,25.00
61354,15963.00,3604.00,0.23,699.00,118.00,7632.00,1743.00,1227.00,207.00,988.00,291.00,2892.00,743.00,2525.00,502.00
61356,16146.00,4363.00,0.27,728.00,85.00,7709.00,2139.00,1092.00,370.00,962.00,281.00,2895.00,832.00,2760.00,656.00
61358,420.00,30.00,0.07,14.00,0.00,203.00,15.00,17.00,1.00,37.00,4.00,95.00,4.00,54.00,6.00
61359,455.00,34.00,0.07,15.00,0.00,220.00,17.00,37.00,2.00,42.00,5.00,69.00,4.00,72.00,6.00
61360,4289.00,677.00,0.16,319.00,27.00,1985.00,325.00,400.00,71.00,250.00,48.00,920.00,151.00,415.00,55.00
61361,1827.00,405.00,0.22,43.00,3.00,892.00,201.00,141.00,38.00,185.00,64.00,290.00,76.00,276.00,23.00
61362,8242.00,1496.00,0.18,506.00,40.00,3868.00,728.00,641.00,123.00,591.00,127.00,1454.00,268.00,1182.00,210.00
61363,426.00,38.00,0.09,6.00,0.00,210.00,19.00,25.00,3.00,28.00,0.00,88.00,15.00,69.00,1.00
61364,28640.00,3885.00,0.14,1538.00,35.00,13551.00,1925.00,1842.00,253.00,2332.00,495.00,5443.00,649.00,3934.00,528.00
61367,1201.00,170.00,0.14,35.00,2.00,583.00,84.00,116.00,29.00,70.00,7.00,246.00,39.00,151.00,9.00
61368,2075.00,411.00,0.20,117.00,3.00,979.00,204.00,98.00,16.00,155.00,63.00,416.00,105.00,310.00,20.00
61369,2492.00,359.00,0.14,174.00,9.00,1159.00,175.00,196.00,80.00,88.00,9.00,469.00,51.00,406.00,35.00
61370,2098.00,353.00,0.17,108.00,3.00,995.00,175.00,92.00,14.00,229.00,46.00,441.00,67.00,233.00,48.00
61372,216.00,22.00,0.10,6.00,0.00,105.00,11.00,29.00,0.00,9.00,1.00,55.00,9.00,12.00,1.00
61373,3260.00,716.00,0.22,92.00,8.00,1584.00,354.00,118.00,45.00,273.00,98.00,763.00,143.00,430.00,68.00
61374,139.00,52.00,0.37,3.00,0.00,68.00,26.00,17.00,14.00,6.00,0.00,17.00,6.00,28.00,6.00
61375,1956.00,452.00,0.23,42.00,0.00,957.00,226.00,64.00,15.00,159.00,39.00,402.00,101.00,332.00,71.00
61376,3056.00,616.00,0.20,162.00,12.00,1447.00,302.00,195.00,33.00,194.00,41.00,616.00,151.00,442.00,77.00
61377,2053.00,354.00,0.17,137.00,8.00,958.00,173.00,145.00,30.00,107.00,28.00,453.00,70.00,253.00,45.00
61378,547.00,140.00,0.26,15.00,0.00,266.00,70.00,47.00,40.00,27.00,15.00,100.00,10.00,92.00,5.00
61379,1829.00,184.00,0.10,113.00,0.00,858.00,92.00,84.00,11.00,226.00,4.00,330.00,51.00,218.00,26.00
61401,49672.00,8611.00,0.17,4074.00,129.00,22799.00,4241.00,3525.00,713.00,3842.00,808.00,8634.00,1760.00,6798.00,960.00
61410,5781.00,737.00,0.13,307.00,85.00,2737.00,326.00,561.00,54.00,466.00,74.00,986.00,79.00,724.00,119.00
61411,667.00,153.00,0.23,11.00,11.00,328.00,71.00,41.00,29.00,40.00,15.00,144.00,21.00,103.00,6.00
61412,2092.00,429.00,0.21,82.00,3.00,1005.00,213.00,125.00,34.00,201.00,60.00,445.00,91.00,234.00,28.00
61413,1428.00,408.00,0.29,44.00,0.00,692.00,204.00,143.00,57.00,108.00,38.00,226.00,57.00,215.00,52.00
61414,1382.00,289.00,0.21,52.00,27.00,665.00,131.00,139.00,63.00,91.00,15.00,256.00,37.00,179.00,16.00
61415,2832.00,503.00,0.18,168.00,13.00,1332.00,245.00,208.00,44.00,227.00,29.00,513.00,103.00,384.00,69.00
61416,376.00,24.00,0.06,34.00,0.00,171.00,12.00,21.00,0.00,42.00,1.00,86.00,6.00,22.00,5.00
61417,462.00,34.00,0.07,58.00,18.00,202.00,8.00,15.00,0.00,48.00,0.00,65.00,0.00,74.00,8.00
61418,951.00,203.00,0.21,37.00,11.00,457.00,96.00,45.00,3.00,62.00,3.00,177.00,32.00,173.00,58.00
61419,214.00,46.00,0.21,4.00,0.00,105.00,23.00,17.00,0.00,13.00,6.00,36.00,9.00,39.00,8.00
61420,1849.00,241.00,0.13,101.00,11.00,874.00,115.00,185.00,31.00,58.00,7.00,362.00,37.00,269.00,40.00
61421,1997.00,272.00,0.14,115.00,0.00,941.00,136.00,94.00,7.00,155.00,10.00,426.00,98.00,266.00,21.00
61422,4626.00,682.00,0.15,346.00,0.00,2140.00,341.00,418.00,76.00,298.00,56.00,898.00,156.00,526.00,53.00
61423,978.00,242.00,0.25,116.00,0.00,431.00,121.00,83.00,23.00,45.00,25.00,126.00,45.00,177.00,28.00
61424,141.00,0.00,0.00,33.00,0.00,54.00,0.00,13.00,0.00,32.00,0.00,6.00,0.00,3.00,0.00
61425,826.00,148.00,0.18,8.00,2.00,409.00,73.00,19.00,13.00,27.00,0.00,217.00,15.00,146.00,45.00
61426,216.00,0.00,0.00,34.00,0.00,91.00,0.00,0.00,0.00,51.00,0.00,30.00,0.00,10.00,0.00
61427,3281.00,770.00,0.23,225.00,22.00,1528.00,374.00,156.00,29.00,200.00,37.00,641.00,178.00,531.00,130.00
61428,1625.00,441.00,0.27,83.00,9.00,771.00,216.00,67.00,23.00,114.00,49.00,287.00,81.00,303.00,63.00
61430,1056.00,222.00,0.21,44.00,0.00,506.00,111.00,89.00,21.00,64.00,10.00,209.00,49.00,144.00,31.00
61431,430.00,76.00,0.18,18.00,8.00,206.00,34.00,21.00,12.00,23.00,0.00,76.00,20.00,86.00,2.00
61432,988.00,200.00,0.20,42.00,2.00,473.00,99.00,56.00,29.00,77.00,15.00,196.00,31.00,144.00,24.00
61433,216.00,108.00,0.50,40.00,40.00,88.00,34.00,10.00,0.00,0.00,0.00,44.00,0.00,34.00,34.00
61434,4493.00,1106.00,0.25,117.00,0.00,2188.00,553.00,313.00,120.00,320.00,128.00,910.00,178.00,645.00,127.00
61435,46.00,28.00,0.61,0.00,0.00,23.00,14.00,0.00,0.00,0.00,0.00,9.00,0.00,14.00,14.00
61436,1099.00,290.00,0.26,63.00,6.00,518.00,142.00,23.00,17.00,124.00,34.00,217.00,66.00,154.00,25.00
61437,1151.00,254.00,0.22,45.00,0.00,553.00,127.00,60.00,21.00,93.00,55.00,192.00,11.00,208.00,40.00
61438,1150.00,360.00,0.31,84.00,2.00,533.00,179.00,86.00,32.00,101.00,34.00,240.00,97.00,106.00,16.00
61439,348.00,38.00,0.11,24.00,0.00,162.00,19.00,9.00,1.00,26.00,5.00,80.00,7.00,47.00,6.00
61440,1071.00,226.00,0.21,57.00,2.00,507.00,112.00,90.00,13.00,74.00,26.00,188.00,49.00,155.00,24.00
61441,1482.00,175.00,0.12,78.00,3.00,702.00,86.00,99.00,16.00,79.00,28.00,309.00,20.00,215.00,22.00
61442,1090.00,114.00,0.10,48.00,0.00,521.00,57.00,96.00,33.00,68.00,12.00,157.00,6.00,200.00,6.00
61443,19981.00,3050.00,0.15,1153.00,88.00,9414.00,1481.00,1691.00,311.00,1449.00,210.00,3506.00,539.00,2768.00,421.00
61447,1483.00,362.00,0.24,91.00,0.00,696.00,181.00,72.00,23.00,124.00,38.00,340.00,111.00,160.00,9.00
61448,5370.00,1167.00,0.22,188.00,9.00,2591.00,579.00,395.00,104.00,470.00,144.00,878.00,200.00,848.00,131.00
61449,487.00,82.00,0.17,11.00,0.00,238.00,41.00,39.00,10.00,20.00,9.00,81.00,0.00,98.00,22.00
61450,2610.00,436.00,0.17,126.00,6.00,1242.00,215.00,206.00,55.00,188.00,46.00,423.00,74.00,425.00,40.00
61451,458.00,91.00,0.20,28.00,11.00,215.00,40.00,41.00,8.00,32.00,8.00,116.00,24.00,26.00,0.00
61452,347.00,36.00,0.10,15.00,0.00,166.00,18.00,33.00,2.00,17.00,7.00,67.00,5.00,49.00,4.00
61453,816.00,130.00,0.16,46.00,8.00,385.00,61.00,64.00,11.00,95.00,38.00,158.00,4.00,68.00,8.00
61454,745.00,138.00,0.19,43.00,2.00,351.00,68.00,62.00,10.00,11.00,3.00,128.00,25.00,150.00,30.00
61455,28223.00,9581.00,0.34,6179.00,593.00,11022.00,4494.00,2337.00,879.00,1699.00,1024.00,3725.00,1505.00,3261.00,1086.00
61458,1113.00,206.00,0.19,25.00,6.00,544.00,100.00,33.00,13.00,54.00,9.00,202.00,34.00,255.00,44.00
61459,628.00,134.00,0.21,22.00,8.00,303.00,63.00,19.00,9.00,48.00,23.00,153.00,20.00,83.00,11.00
61460,450.00,120.00,0.27,2.00,0.00,224.00,60.00,9.00,2.00,32.00,16.00,105.00,32.00,78.00,10.00
61462,16030.00,3389.00,0.21,1714.00,97.00,7158.00,1646.00,1104.00,423.00,1423.00,245.00,2687.00,607.00,1944.00,371.00
61465,1765.00,244.00,0.14,59.00,0.00,853.00,122.00,127.00,27.00,119.00,30.00,382.00,47.00,225.00,18.00
61466,491.00,101.00,0.21,3.00,3.00,244.00,49.00,63.00,9.00,22.00,0.00,71.00,15.00,88.00,25.00
61467,1476.00,464.00,0.31,60.00,0.00,708.00,232.00,138.00,68.00,159.00,34.00,291.00,104.00,120.00,26.00
61468,268.00,50.00,0.19,22.00,0.00,123.00,25.00,54.00,13.00,0.00,0.00,35.00,6.00,34.00,6.00
61469,3507.00,374.00,0.11,189.00,36.00,1659.00,169.00,195.00,21.00,214.00,0.00,755.00,100.00,495.00,48.00
61470,707.00,108.00,0.15,37.00,0.00,335.00,54.00,26.00,7.00,72.00,26.00,113.00,14.00,124.00,7.00
61471,141.00,18.00,0.13,1.00,0.00,70.00,9.00,16.00,0.00,11.00,5.00,22.00,0.00,21.00,4.00
61472,979.00,252.00,0.26,35.00,0.00,472.00,126.00,28.00,11.00,74.00,12.00,199.00,56.00,171.00,47.00
61473,2234.00,618.00,0.28,70.00,0.00,1082.00,309.00,255.00,96.00,96.00,19.00,360.00,98.00,371.00,96.00
61474,373.00,56.00,0.15,39.00,8.00,167.00,24.00,30.00,9.00,10.00,0.00,88.00,6.00,39.00,9.00
61475,419.00,114.00,0.27,15.00,0.00,202.00,57.00,30.00,4.00,35.00,22.00,59.00,18.00,78.00,13.00
61476,662.00,85.00,0.13,36.00,15.00,313.00,35.00,22.00,0.00,38.00,2.00,187.00,31.00,66.00,2.00
61477,771.00,134.00,0.17,7.00,0.00,382.00,67.00,47.00,0.00,45.00,33.00,181.00,32.00,109.00,2.00
61478,403.00,100.00,0.25,31.00,0.00,186.00,50.00,8.00,8.00,69.00,22.00,52.00,14.00,57.00,6.00
61479,85.00,24.00,0.28,11.00,0.00,37.00,12.00,12.00,0.00,0.00,0.00,9.00,9.00,16.00,3.00
61480,1724.00,305.00,0.18,112.00,27.00,806.00,139.00,118.00,18.00,93.00,25.00,309.00,52.00,286.00,44.00
61482,881.00,64.00,0.07,53.00,0.00,414.00,32.00,71.00,4.00,91.00,8.00,184.00,13.00,68.00,7.00
61483,3010.00,548.00,0.18,98.00,8.00,1456.00,270.00,216.00,11.00,182.00,69.00,514.00,76.00,544.00,114.00
61484,1279.00,136.00,0.11,65.00,0.00,607.00,68.00,97.00,17.00,87.00,5.00,242.00,40.00,181.00,6.00
61485,710.00,82.00,0.12,24.00,0.00,343.00,41.00,45.00,8.00,41.00,1.00,165.00,19.00,92.00,13.00
61486,2109.00,437.00,0.21,109.00,27.00,1000.00,205.00,180.00,37.00,216.00,67.00,358.00,92.00,246.00,9.00
61488,1658.00,312.00,0.19,116.00,2.00,771.00,155.00,96.00,31.00,90.00,19.00,327.00,59.00,258.00,46.00
61489,1184.00,183.00,0.15,60.00,3.00,562.00,90.00,92.00,33.00,82.00,21.00,228.00,24.00,160.00,12.00
61490,1639.00,242.00,0.15,87.00,8.00,776.00,117.00,117.00,24.00,148.00,32.00,283.00,42.00,228.00,19.00
61491,3035.00,556.00,0.18,137.00,4.00,1449.00,276.00,197.00,67.00,209.00,52.00,607.00,126.00,436.00,31.00
61501,2228.00,228.00,0.10,110.00,0.00,1059.00,114.00,153.00,25.00,179.00,21.00,396.00,18.00,331.00,50.00
61516,1104.00,224.00,0.20,72.00,12.00,516.00,106.00,127.00,42.00,104.00,13.00,156.00,31.00,129.00,20.00
61517,4779.00,1454.00,0.30,175.00,6.00,2302.00,724.00,236.00,85.00,432.00,181.00,963.00,268.00,671.00,190.00
61519,347.00,32.00,0.09,29.00,0.00,159.00,16.00,9.00,2.00,30.00,2.00,85.00,11.00,35.00,1.00
61520,26059.00,4422.00,0.17,1293.00,68.00,12383.00,2177.00,2457.00,463.00,2297.00,454.00,4229.00,671.00,3400.00,589.00
61523,16092.00,3690.00,0.23,510.00,44.00,7791.00,1823.00,1398.00,396.00,1281.00,415.00,3031.00,647.00,2081.00,365.00
61524,447.00,40.00,0.09,25.00,0.00,211.00,20.00,68.00,5.00,29.00,4.00,72.00,11.00,42.00,0.00
61525,11482.00,7503.00,0.65,320.00,99.00,5581.00,3702.00,997.00,681.00,1510.00,1223.00,2114.00,1494.00,960.00,304.00
61526,1147.00,350.00,0.31,45.00,0.00,551.00,175.00,52.00,28.00,56.00,24.00,229.00,83.00,214.00,40.00
61528,4159.00,2028.00,0.49,205.00,72.00,1977.00,978.00,266.00,39.00,458.00,374.00,863.00,448.00,390.00,117.00
61529,3951.00,1148.00,0.29,211.00,8.00,1870.00,570.00,256.00,71.00,324.00,140.00,850.00,242.00,440.00,117.00
61530,9766.00,3485.00,0.36,1012.00,181.00,4377.00,1652.00,959.00,389.00,702.00,393.00,1546.00,611.00,1170.00,259.00
61531,4661.00,971.00,0.21,225.00,9.00,2218.00,481.00,334.00,95.00,420.00,136.00,885.00,141.00,579.00,109.00
61532,811.00,224.00,0.28,19.00,12.00,396.00,106.00,97.00,45.00,74.00,26.00,98.00,4.00,127.00,31.00
61533,3493.00,629.00,0.18,179.00,3.00,1657.00,313.00,288.00,74.00,359.00,107.00,634.00,74.00,376.00,58.00
61534,2540.00,557.00,0.22,78.00,9.00,1231.00,274.00,132.00,24.00,311.00,113.00,443.00,57.00,345.00,80.00
61535,2959.00,658.00,0.22,129.00,0.00,1415.00,329.00,170.00,15.00,346.00,58.00,614.00,199.00,285.00,57.00
61536,4372.00,921.00,0.21,176.00,23.00,2098.00,449.00,367.00,121.00,229.00,113.00,809.00,182.00,693.00,33.00
61537,4069.00,919.00,0.23,189.00,5.00,1940.00,457.00,299.00,115.00,335.00,109.00,671.00,125.00,635.00,108.00
61539,252.00,22.00,0.09,22.00,2.00,115.00,10.00,19.00,2.00,21.00,0.00,50.00,2.00,25.00,6.00
61540,4117.00,636.00,0.15,219.00,8.00,1949.00,314.00,276.00,46.00,254.00,71.00,811.00,119.00,608.00,78.00
61541,124.00,2.00,0.02,2.00,2.00,61.00,0.00,2.00,0.00,6.00,0.00,25.00,0.00,28.00,0.00
61542,5597.00,1086.00,0.19,233.00,20.00,2682.00,533.00,318.00,68.00,474.00,158.00,1157.00,224.00,733.00,83.00
61543,232.00,14.00,0.06,4.00,2.00,114.00,6.00,9.00,4.00,21.00,0.00,46.00,2.00,38.00,0.00
61544,1041.00,166.00,0.16,29.00,0.00,506.00,83.00,91.00,31.00,118.00,23.00,175.00,21.00,122.00,8.00
61545,999.00,178.00,0.18,19.00,0.00,490.00,89.00,133.00,43.00,84.00,28.00,150.00,14.00,123.00,4.00
