X,Y,OBJECTID,NCESID,NAME,ADDRESS,CITY,STATE,ZIP,ZIP4,POPULATION,COUNTY,COUNTYFIPS,LATITUDE,LONGITUDE,LEVEL_,ENROLLMENT,ST_GRADE,END_GRADE,FT_TEACHER
-87.70648027,41.8420108,82602,1.70993E+11,MCCORMICK ELEM SCHOOL,2712 S SAWYER AVE,CHICAGO,IL,60623,4738,858,COOK,17031,41.8420108,-87.70648027,1,817,PK,5,41
-87.60275011,41.70639058,82682,1.70993E+11,CORLISS HIGH SCHOOL,821 E 103RD ST,CHICAGO,IL,60628,3003,448,COOK,17031,41.70639058,-87.60275011,3,415,9,12,33
-87.74688032,41.89202969,82683,1.70993E+11,KIPP CREATE CHARTER SCHOOL,4837 W ERIE ST,CHICAGO,IL,60644,1720,248,COOK,17031,41.89202969,-87.74688032,2,234,5,7,14
-87.64707087,41.70656146,82763,1.70993E+11,GARVEY  M ELEM SCHOOL,10309 S MORGAN ST,CHICAGO,IL,60643,3096,303,COOK,17031,41.70656146,-87.64707087,1,289,PK,8,14
-87.8069,42.0173,82806,1.70993E+11,OMBUDSMAN CHICAGO HS,7500 N HARLEM AVE,CHICAGO,IL,60631,4400,701,COOK,17031,42.0173,-87.8069,3,657,9,12,44
-87.62134834,41.71874967,84246,1.70993E+11,HARLAN COMMUNITY ACADEMY HS,9652 S MICHIGAN AVE,CHICAGO,IL,60628,1415,800,COOK,17031,41.71874967,-87.62134834,3,744,7,12,56
-87.5529965,41.73123503,84531,1.70993E+11,MIRELES ELEM ACADEMY,9000 S EXCHANGE AVE,CHICAGO,IL,60617,4296,737,COOK,17031,41.73123503,-87.5529965,1,702,PK,8,35
-87.7543252,41.90705872,84927,1.70993E+11,LEWIS ELEM SCHOOL,1431 N LEAMINGTON AVE,CHICAGO,IL,60651,1444,523,COOK,17031,41.90705872,-87.7543252,1,497,PK,8,26
-87.64964337,41.79336947,85087,1.70993E+11,HOLMES ELEM SCHOOL,955 W GARFIELD BLVD,CHICAGO,IL,60621,2240,239,COOK,17031,41.79336947,-87.64964337,1,225,PK,8,14
-87.62057917,41.73905219,87242,1.70993E+11,NEIL ELEM SCHOOL,8555 S MICHIGAN AVE,CHICAGO,IL,60619,5687,321,COOK,17031,41.73905219,-87.62057917,1,297,PK,8,24
-87.66455967,41.85291392,87565,1.70993E+11,JUAREZ COMMUNITY ACADEMY HS,2150 S LAFLIN ST,CHICAGO,IL,60608,4409,1754,COOK,17031,41.85291392,-87.66455967,3,1650,9,12,104
-87.66515742,41.89164095,87566,1.70993E+11,OTIS ELEM SCHOOL,525 N ARMOUR ST,CHICAGO,IL,60642,6105,638,COOK,17031,41.89164095,-87.66515742,1,593,PK,8,45
-87.63389034,41.90159285,87762,1.70993E+11,SALAZAR ELEM BILINGUAL CENTER,160 W WENDELL ST,CHICAGO,IL,60610,2727,392,COOK,17031,41.90159285,-87.63389034,1,370,PK,8,22
-87.75074392,41.88494827,88161,1.70993E+11,SPENCER TECHNOLOGY ACAD ELEM SCH,214 N LAVERGNE AVE,CHICAGO,IL,60644,2517,843,COOK,17031,41.88494827,-87.75074392,1,798,PK,8,45
-87.76436727,41.96024253,80247,1.70993E+11,VAUGHN OCCUPATIONAL HIGH SCHOOL,4355 N LINDER AVE,CHICAGO,IL,60641,1322,227,COOK,17031,41.96024253,-87.76436727,3,201,9,12,26
-87.70120096,41.86441703,80248,1.70993E+11,COLLINS ACADEMY HIGH SCHOOL,1313 S SACRAMENTO DR,CHICAGO,IL,60623,2218,437,COOK,17031,41.86441703,-87.70120096,3,409,9,12,28
-87.75709856,41.80118303,80454,1.73786E+11,CHARLES J SAHS ELEM SCHOOL,5001 S LONG AVE,CHICAGO,IL,60638,1733,456,COOK,17031,41.80118303,-87.75709856,1,427,PK,8,29
-87.67673774,41.72536117,80526,1.70993E+11,KELLOGG ELEM SCHOOL,9241 S LEAVITT ST,CHICAGO,IL,60643,6318,266,COOK,17031,41.72536117,-87.67673774,1,251,KG,8,15
-87.68035129,41.93546837,80682,1.70993E+11,ALCOTT HUMANITIES HIGH SCHOOL,2957 N HOYNE AVE,CHICAGO,IL,60618,8208,322,COOK,17031,41.93546837,-87.6803513,3,272,9,12,50
-87.6690949,41.74947412,80731,1.70993E+11,JOPLIN ELEM SCHOOL,7931 S HONORE ST,CHICAGO,IL,60620,4560,475,COOK,17031,41.74947412,-87.6690949,1,451,PK,8,24
-87.79126176,41.79500669,80805,1.70993E+11,BYRNE ELEM SCHOOL,5329 S OAK PARK AVE,CHICAGO,IL,60638,1117,669,COOK,17031,41.79500669,-87.79126176,1,635,KG,8,34
