"B19301B_001E","B19301B_001M","GEO_ID","NAME"
"Estimate!!Per capita income in the past 12 months (in 2020 inflation-adjusted dollars)","Margin of Error!!Per capita income in the past 12 months (in 2020 inflation-adjusted dollars)","id","Geographic Area Name"
"4589","2104","8600000US61320","ZCTA5 61320"
"-","**","8600000US61321","ZCTA5 61321"
"null","null","8600000US61322","ZCTA5 61322"
"-","**","8600000US61323","ZCTA5 61323"
"-","**","8600000US61324","ZCTA5 61324"
"null","null","8600000US61325","ZCTA5 61325"
"-","**","8600000US61326","ZCTA5 61326"
"null","null","8600000US61327","ZCTA5 61327"
"-","**","8600000US61328","ZCTA5 61328"
"-","**","8600000US61329","ZCTA5 61329"
"null","null","8600000US61330","ZCTA5 61330"
"-","**","8600000US61331","ZCTA5 61331"
"-","**","8600000US61332","ZCTA5 61332"
"-","**","8600000US61333","ZCTA5 61333"
"null","null","8600000US61334","ZCTA5 61334"
"-","**","8600000US61335","ZCTA5 61335"
"-","**","8600000US61336","ZCTA5 61336"
"-","**","8600000US61337","ZCTA5 61337"
"-","**","8600000US61338","ZCTA5 61338"
"-","**","8600000US61340","ZCTA5 61340"
"36058","12431","8600000US61341","ZCTA5 61341"
"null","null","8600000US61342","ZCTA5 61342"
"null","null","8600000US61344","ZCTA5 61344"
"null","null","8600000US61345","ZCTA5 61345"
"-","**","8600000US61346","ZCTA5 61346"
"4287","2120","8600000US61348","ZCTA5 61348"
"null","null","8600000US61349","ZCTA5 61349"
"15702","5024","8600000US61350","ZCTA5 61350"
"null","null","8600000US61353","ZCTA5 61353"
"18433","17795","8600000US61354","ZCTA5 61354"
"null","null","8600000US61356","ZCTA5 61356"
"-","**","8600000US61358","ZCTA5 61358"
"-","**","8600000US61359","ZCTA5 61359"
"25929","7509","8600000US61360","ZCTA5 61360"
