"B19301B_001E","B19301B_001M","GEO_ID","NAME"
"Estimate!!Per capita income in the past 12 months (in 2020 inflation-adjusted dollars)","Margin of Error!!Per capita income in the past 12 months (in 2020 inflation-adjusted dollars)","id","Geographic Area Name"
"20007","22077","1400000US17031210502","Census Tract 2105.02, Cook County, Illinois"
"85767","42781","1400000US17031210601","Census Tract 2106.01, Cook County, Illinois"
"null","null","1400000US17031210602","Census Tract 2106.02, Cook County, Illinois"
"29949","12151","1400000US17031210700","Census Tract 2107, Cook County, Illinois"
"null","null","1400000US17031210800","Census Tract 2108, Cook County, Illinois"
"25812","6267","1400000US17031210900","Census Tract 2109, Cook County, Illinois"
"83910","37573","1400000US17031220300","Census Tract 2203, Cook County, Illinois"
"null","null","1400000US17031220400","Census Tract 2204, Cook County, Illinois"
"28750","16898","1400000US17031220500","Census Tract 2205, Cook County, Illinois"
"68959","18309","1400000US17031220601","Census Tract 2206.01, Cook County, Illinois"
"17081","15123","1400000US17031220602","Census Tract 2206.02, Cook County, Illinois"
"14693","10377","1400000US17031220701","Census Tract 2207.01, Cook County, Illinois"
"48620","29769","1400000US17031220702","Census Tract 2207.02, Cook County, Illinois"
"15171","7066","1400000US17031220901","Census Tract 2209.01, Cook County, Illinois"
"60796","30807","1400000US17031220902","Census Tract 2209.02, Cook County, Illinois"
"38738","16957","1400000US17031221000","Census Tract 2210, Cook County, Illinois"
"12863","5502","1400000US17031221100","Census Tract 2211, Cook County, Illinois"
"10128","20410","1400000US17031221200","Census Tract 2212, Cook County, Illinois"
"33980","12989","1400000US17031221300","Census Tract 2213, Cook County, Illinois"
"18610","18205","1400000US17031221400","Census Tract 2214, Cook County, Illinois"
"23317","8872","1400000US17031221500","Census Tract 2215, Cook County, Illinois"
"60489","17896","1400000US17031221600","Census Tract 2216, Cook County, Illinois"
"22459","19363","1400000US17031222200","Census Tract 2222, Cook County, Illinois"
"35069","11532","1400000US17031222500","Census Tract 2225, Cook County, Illinois"
"39094","15301","1400000US17031222600","Census Tract 2226, Cook County, Illinois"
"34452","12461","1400000US17031222700","Census Tract 2227, Cook County, Illinois"
"37300","25792","1400000US17031222800","Census Tract 2228, Cook County, Illinois"
"18272","5897","1400000US17031222900","Census Tract 2229, Cook County, Illinois"
"13308","9244","1400000US17031230100","Census Tract 2301, Cook County, Illinois"
"12433","6308","1400000US17031230200","Census Tract 2302, Cook County, Illinois"
"14102","3594","1400000US17031230300","Census Tract 2303, Cook County, Illinois"
"55288","12269","1400000US17031230400","Census Tract 2304, Cook County, Illinois"
"5722","2281","1400000US17031230500","Census Tract 2305, Cook County, Illinois"
"15849","7602","1400000US17031230600","Census Tract 2306, Cook County, Illinois"
"27320","6680","1400000US17031230700","Census Tract 2307, Cook County, Illinois"
"19284","10623","1400000US17031230800","Census Tract 2308, Cook County, Illinois"
"31580","11152","1400000US17031230900","Census Tract 2309, Cook County, Illinois"
"30226","11386","1400000US17031231100","Census Tract 2311, Cook County, Illinois"
"14520","2882","1400000US17031231200","Census Tract 2312, Cook County, Illinois"
"17313","3102","1400000US17031231500","Census Tract 2315, Cook County, Illinois"
"165322","100678","1400000US17031240200","Census Tract 2402, Cook County, Illinois"
"11608","5924","1400000US17031240300","Census Tract 2403, Cook County, Illinois"
"86327","27373","1400000US17031240500","Census Tract 2405, Cook County, Illinois"
"29212","31828","1400000US17031240600","Census Tract 2406, Cook County, Illinois"
"40378","30538","1400000US17031240700","Census Tract 2407, Cook County, Illinois"
"28180","9711","1400000US17031240800","Census Tract 2408, Cook County, Illinois"
"44428","26395","1400000US17031240900","Census Tract 2409, Cook County, Illinois"
"29235","10052","1400000US17031241000","Census Tract 2410, Cook County, Illinois"
"22827","11627","1400000US17031241100","Census Tract 2411, Cook County, Illinois"
"29528","9565","1400000US17031241200","Census Tract 2412, Cook County, Illinois"
"29210","17578","1400000US17031241300","Census Tract 2413, Cook County, Illinois"
"50923","16933","1400000US17031241400","Census Tract 2414, Cook County, Illinois"
"null","null","1400000US17031241500","Census Tract 2415, Cook County, Illinois"
"82091","69141","1400000US17031241600","Census Tract 2416, Cook County, Illinois"
"22234","7035","1400000US17031242000","Census Tract 2420, Cook County, Illinois"
"null","null","1400000US17031242100","Census Tract 2421, Cook County, Illinois"
"58812","49734","1400000US17031242200","Census Tract 2422, Cook County, Illinois"
"88200","44619","1400000US17031242300","Census Tract 2423, Cook County, Illinois"
"47119","15288","1400000US17031242400","Census Tract 2424, Cook County, Illinois"
"36988","11333","1400000US17031242500","Census Tract 2425, Cook County, Illinois"
"19228","10041","1400000US17031242600","Census Tract 2426, Cook County, Illinois"
"15374","10449","1400000US17031242700","Census Tract 2427, Cook County, Illinois"
"null","null","1400000US17031242800","Census Tract 2428, Cook County, Illinois"
"48676","15620","1400000US17031242900","Census Tract 2429, Cook County, Illinois"
"69972","49502","1400000US17031243000","Census Tract 2430, Cook County, Illinois"
"76402","42180","1400000US17031243100","Census Tract 2431, Cook County, Illinois"
"40728","18996","1400000US17031243200","Census Tract 2432, Cook County, Illinois"
"226459","219713","1400000US17031243300","Census Tract 2433, Cook County, Illinois"
"23007","24121","1400000US17031243400","Census Tract 2434, Cook County, Illinois"
"32176","15043","1400000US17031243500","Census Tract 2435, Cook County, Illinois"
"25476","9192","1400000US17031250200","Census Tract 2502, Cook County, Illinois"
"16451","4925","1400000US17031250300","Census Tract 2503, Cook County, Illinois"
"36859","25602","1400000US17031250400","Census Tract 2504, Cook County, Illinois"
"38622","10456","1400000US17031250500","Census Tract 2505, Cook County, Illinois"
"28996","6058","1400000US17031250600","Census Tract 2506, Cook County, Illinois"
"25277","5018","1400000US17031250700","Census Tract 2507, Cook County, Illinois"
"16849","3737","1400000US17031250800","Census Tract 2508, Cook County, Illinois"
"19141","4378","1400000US17031251000","Census Tract 2510, Cook County, Illinois"
"16665","4558","1400000US17031251100","Census Tract 2511, Cook County, Illinois"
"21794","4171","1400000US17031251200","Census Tract 2512, Cook County, Illinois"
"18491","3746","1400000US17031251300","Census Tract 2513, Cook County, Illinois"
"17089","2955","1400000US17031251400","Census Tract 2514, Cook County, Illinois"
"20529","5885","1400000US17031251500","Census Tract 2515, Cook County, Illinois"
"13855","3362","1400000US17031251600","Census Tract 2516, Cook County, Illinois"
"19743","3538","1400000US17031251700","Census Tract 2517, Cook County, Illinois"
"11921","2500","1400000US17031251800","Census Tract 2518, Cook County, Illinois"
"15741","4268","1400000US17031251900","Census Tract 2519, Cook County, Illinois"
"17631","4271","1400000US17031252000","Census Tract 2520, Cook County, Illinois"
"36885","23521","1400000US17031252101","Census Tract 2521.01, Cook County, Illinois"
"16067","3829","1400000US17031252102","Census Tract 2521.02, Cook County, Illinois"
"21707","7070","1400000US17031252201","Census Tract 2522.01, Cook County, Illinois"
"18023","4864","1400000US17031252202","Census Tract 2522.02, Cook County, Illinois"
"17248","4227","1400000US17031260100","Census Tract 2601, Cook County, Illinois"
"15037","3874","1400000US17031260200","Census Tract 2602, Cook County, Illinois"
"9865","3450","1400000US17031260300","Census Tract 2603, Cook County, Illinois"
"17114","5126","1400000US17031260400","Census Tract 2604, Cook County, Illinois"
"15552","3924","1400000US17031260500","Census Tract 2605, Cook County, Illinois"
"11087","2489","1400000US17031260600","Census Tract 2606, Cook County, Illinois"
"16620","4443","1400000US17031260700","Census Tract 2607, Cook County, Illinois"
"14276","4300","1400000US17031260800","Census Tract 2608, Cook County, Illinois"
"12480","3971","1400000US17031260900","Census Tract 2609, Cook County, Illinois"
"17700","3781","1400000US17031261000","Census Tract 2610, Cook County, Illinois"
"14695","3477","1400000US17031270500","Census Tract 2705, Cook County, Illinois"
"16505","4586","1400000US17031271200","Census Tract 2712, Cook County, Illinois"
"12813","3598","1400000US17031271300","Census Tract 2713, Cook County, Illinois"
"14915","4759","1400000US17031271400","Census Tract 2714, Cook County, Illinois"
"21263","5683","1400000US17031271500","Census Tract 2715, Cook County, Illinois"
"16294","6497","1400000US17031271800","Census Tract 2718, Cook County, Illinois"
"137982","42842","1400000US17031280100","Census Tract 2801, Cook County, Illinois"
"20872","5440","1400000US17031280400","Census Tract 2804, Cook County, Illinois"
"13264","3729","1400000US17031280800","Census Tract 2808, Cook County, Illinois"
"65247","67910","1400000US17031280900","Census Tract 2809, Cook County, Illinois"
"56422","26198","1400000US17031281900","Census Tract 2819, Cook County, Illinois"
"21377","10055","1400000US17031282700","Census Tract 2827, Cook County, Illinois"
"56993","22386","1400000US17031282800","Census Tract 2828, Cook County, Illinois"
"23199","17623","1400000US17031283100","Census Tract 2831, Cook County, Illinois"
"22545","7042","1400000US17031283200","Census Tract 2832, Cook County, Illinois"
"24273","9096","1400000US17031283800","Census Tract 2838, Cook County, Illinois"
"16383","3566","1400000US17031290900","Census Tract 2909, Cook County, Illinois"
"14613","3777","1400000US17031291200","Census Tract 2912, Cook County, Illinois"
"null","null","1400000US17031291600","Census Tract 2916, Cook County, Illinois"
"20811","7387","1400000US17031292200","Census Tract 2922, Cook County, Illinois"
"17271","4177","1400000US17031292400","Census Tract 2924, Cook County, Illinois"
"21163","4403","1400000US17031292500","Census Tract 2925, Cook County, Illinois"
"17299","4768","1400000US17031300500","Census Tract 3005, Cook County, Illinois"
"25422","12473","1400000US17031300600","Census Tract 3006, Cook County, Illinois"
"13117","3600","1400000US17031300700","Census Tract 3007, Cook County, Illinois"
"-","**","1400000US17031300800","Census Tract 3008, Cook County, Illinois"
"23432","2813","1400000US17031300900","Census Tract 3009, Cook County, Illinois"
"37709","17336","1400000US17031301100","Census Tract 3011, Cook County, Illinois"
"11942","5607","1400000US17031301200","Census Tract 3012, Cook County, Illinois"
"6519","3152","1400000US17031301600","Census Tract 3016, Cook County, Illinois"
"null","null","1400000US17031301701","Census Tract 3017.01, Cook County, Illinois"
"-","**","1400000US17031301702","Census Tract 3017.02, Cook County, Illinois"
"null","null","1400000US17031301801","Census Tract 3018.01, Cook County, Illinois"
"40768","34372","1400000US17031301802","Census Tract 3018.02, Cook County, Illinois"
