zipcode,male,white,median_age
61238,0.54,0.96,42.1
61239,0.49,0.70,27.6
61240,0.52,0.97,48.1
61241,0.51,0.98,42.3
61242,0.54,0.99,48
61243,0.51,1.00,59.3
61244,0.52,0.74,39.8
61250,0.50,0.98,42.6
61251,0.54,1.00,48.1
61252,0.51,0.97,46.1
61254,0.48,0.97,44.4
61256,0.50,0.93,40.3
61257,0.54,0.97,33.4
61258,0.56,1.00,37.6
61259,0.52,0.94,46.1
61260,0.45,1.00,41.5
61261,0.53,1.00,37.5
61262,0.50,0.97,47.6
61263,0.48,0.96,31.8
61264,0.47,0.93,47.1
61265,0.49,0.83,40.7
61270,0.49,0.97,46.2
61272,0.53,0.98,46.5
61273,0.51,0.98,43.4
61274,0.54,1.00,53.4
61275,0.49,0.91,45.3
61276,0.38,1.00,36.6
61277,0.49,0.97,47.9
61278,0.46,0.93,41.5
61279,0.53,0.99,42.4
61281,0.51,0.97,49.3
61282,0.48,0.80,38.5
61283,0.52,0.99,30.6
61284,0.49,0.98,53.5
61285,0.57,0.94,48.7
61301,0.50,0.90,38
61310,0.51,0.97,48.1
61311,0.57,1.00,54.3
61312,0.55,0.94,46.8
61313,0.44,1.00,46.2
61314,0.49,0.96,44.4
61315,0.52,1.00,36.3
61316,0.52,1.00,42.8
61317,0.58,1.00,43.6
61318,0.48,0.93,37.9
61319,0.55,0.97,44.8
61320,0.53,0.90,49.9
61321,0.44,1.00,46.3
61322,0.58,0.75,37.5
61323,0.37,1.00,55.1
61324,0.61,1.00,64.5
61325,0.51,0.94,43
61326,0.52,0.98,46.3
61327,0.51,0.98,44.6
61328,0.35,1.00,17.5
61329,0.49,0.95,44
61330,0.49,0.93,50.6
61331,0.56,1.00,-
61332,0.54,1.00,39.8
61333,0.53,0.95,37.7
61334,0.52,0.94,38.1
61335,0.53,0.97,42.5
61336,0.58,0.96,49.3
61337,0.52,0.96,39.5
61338,0.60,0.99,43.6
61340,0.48,1.00,47.1
61341,0.50,0.98,43
61342,0.52,0.91,39.7
61344,0.52,0.97,45.4
61345,0.53,0.97,45.6
61346,0.51,1.00,51.5
61348,0.50,0.94,41.9
61349,0.52,0.99,47.4
61350,0.48,0.91,40.4
61353,0.47,0.99,42.3
61354,0.44,0.95,46.3
61356,0.45,0.96,47.7
61358,0.47,0.99,47.6
61359,0.48,0.95,38.3
61360,0.51,0.99,37.7
61361,0.47,0.97,42.3
61362,0.50,0.86,43
61363,0.55,0.93,47.4
61364,0.50,0.93,44.7
61367,0.48,0.99,46.9
61368,0.50,0.97,47.4
61369,0.47,0.96,51.5
61370,0.54,0.97,42
61372,0.52,1.00,36.2
61373,0.52,0.95,49.2
61374,0.48,1.00,51.2
61375,0.54,0.97,55.8
61376,0.52,0.98,45.9
61377,0.45,0.98,45.4
61378,0.50,0.99,55.7
61379,0.51,0.93,41.6
